File Name,Logging Time (seconds),Num Disconnections,Avg Num Peers,Min Num Peers,Max Num Peers,Avg Connection Time (seconds),Min Connection Time (seconds),Max Connection Time (seconds),Raw Connection Time Dictionary,
Sample 140 numConnections 10.csv,3000,1,10.0,10,10,2727.2727272727275,1282,3000,"{'73.216.78.94:8333': 3000, '188.166.161.240:8333': 3000, '52.15.179.79:8333': 1282, '165.22.112.46:8333': 3000, '144.76.98.163:8333': 3000, '94.26.49.71:8333': 3000, '46.166.142.2:8333': 3000, '74.208.85.197:8333': 3000, '96.88.212.146:8333': 3000, '200.116.57.252:8333': 3000, '183.230.93.139:8333': 1718}",
Sample 141 numConnections 1.csv,3000,0,1.0,1,1,3000.0,3000,3000,"{'205.209.162.98:8333': 3000}",
Sample 142 numConnections 2.csv,3000,0,2.0,2,2,3000.0,3000,3000,"{'134.209.226.20:8333': 3000, '46.166.142.2:8333': 3000}",
Sample 143 numConnections 3.csv,3000,0,3.0,3,3,3000.0,3000,3000,"{'84.114.111.75:8333': 3000, '73.198.63.11:8333': 3000, '83.249.245.244:8333': 3000}",
Sample 144 numConnections 4.csv,3000,0,4.0,4,4,3000.0,3000,3000,"{'52.68.166.44:8333': 3000, '66.18.172.21:8333': 3000, '188.165.193.113:8333': 3000, '47.74.228.168:8333': 3000}",
Sample 145 numConnections 5.csv,3000,1,5.0,5,5,2500.0,1322,3000,"{'37.187.117.135:8333': 3000, '178.33.232.74:8333': 3000, '75.67.48.41:8333': 3000, '211.251.235.65:8333': 3000, '52.15.179.79:8333': 1322, '107.191.116.103:8333': 1678}",
Sample 146 numConnections 6.csv,3000,0,6.0,6,6,3000.0,3000,3000,"{'68.183.240.19:8333': 3000, '46.146.248.89:8333': 3000, '73.53.78.243:8333': 3000, '78.46.191.14:8333': 3000, '82.194.153.233:8333': 3000, '94.130.149.49:8333': 3000}",
Sample 147 numConnections 7.csv,3000,1,7.0,7,7,2625.0,1,3000,"{'45.64.135.130:8333': 3000, '83.162.196.192:8333': 3000, '51.159.55.97:8333': 3000, '167.86.102.174:8333': 3000, '46.166.142.2:8333': 3000, '213.171.196.79:8333': 3000, '5.135.159.65:8333': 1, '51.38.41.38:8333': 2999}",
Sample 148 numConnections 8.csv,3000,0,8.0,8,8,3000.0,3000,3000,"{'157.245.83.73:8333': 3000, '76.91.164.11:8333': 3000, '68.48.133.235:8333': 3000, '191.209.21.188:8333': 3000, '14.133.146.51:8333': 3000, '185.95.213.108:8333': 3000, '78.46.191.14:8333': 3000, '32.214.183.114:8333': 3000}",
Sample 149 numConnections 9.csv,3000,2,9.0,9,9,2454.5454545454545,652,3000,"{'190.104.249.44:8333': 3000, '104.198.87.67:8333': 652, '18.218.72.156:8333': 1295, '108.162.135.254:8333': 3000, '192.111.153.62:8333': 3000, '167.86.68.132:8333': 3000, '136.56.170.96:8333': 3000, '83.249.245.244:8333': 3000, '88.86.125.50:8333': 3000, '5.39.78.212:8333': 2348, '134.209.30.141:8333': 1705}",
Sample 15 numConnections 5.csv,3000,0,5.0,5,5,3000.0,3000,3000,"{'111.90.140.179:8333': 3000, '157.245.99.74:8333': 3000, '121.18.238.39:8333': 3000, '37.179.217.179:8333': 3000, '217.182.172.117:8333': 3000}",
Sample 150 numConnections 10.csv,3000,0,10.0,10,10,3000.0,3000,3000,"{'54.191.204.251:8333': 3000, '203.151.166.124:8333': 3000, '200.116.57.252:8333': 3000, '103.75.2.197:8333': 3000, '94.130.149.49:8333': 3000, '138.68.105.150:8333': 3000, '67.80.208.143:8333': 3000, '35.187.198.89:8333': 3000, '45.115.239.108:8333': 3000, '92.62.34.158:8333': 3000}",
Sample 151 numConnections 1.csv,3000,0,1.0,1,1,3000.0,3000,3000,"{'68.183.240.19:8333': 3000}",
Sample 152 numConnections 2.csv,3000,1,2.0,2,2,2000.0,1097,3000,"{'104.198.87.67:8333': 3000, '138.68.67.79:8333': 1903, '14.133.146.51:8333': 1097}",
Sample 153 numConnections 3.csv,3000,2,3.0,3,3,1800.0,97,3000,"{'62.205.132.245:8333': 3000, '95.216.36.239:8333': 97, '8.208.22.35:8333': 1071, '185.107.80.8:8333': 2903, '136.56.170.96:8333': 1929}",
Sample 154 numConnections 4.csv,3000,0,4.0,4,4,3000.0,3000,3000,"{'91.216.149.28:8333': 3000, '67.205.140.197:8333': 3000, '71.198.215.136:8333': 3000, '157.131.220.216:8333': 3000}",
Sample 155 numConnections 5.csv,3000,0,5.0,5,5,3000.0,3000,3000,"{'192.226.144.137:8333': 3000, '23.175.0.202:8333': 3000, '211.63.212.19:8333': 3000, '93.46.81.5:8333': 3000, '46.146.248.89:8333': 3000}",
Sample 156 numConnections 6.csv,3000,0,6.0,6,6,3000.0,3000,3000,"{'162.227.78.128:8333': 3000, '74.208.85.197:8333': 3000, '211.251.235.65:8333': 3000, '188.214.133.94:8333': 3000, '198.211.109.72:8333': 3000, '51.159.21.209:8333': 3000}",
Sample 157 numConnections 7.csv,3000,0,7.0,7,7,3000.0,3000,3000,"{'217.182.172.114:8333': 3000, '192.241.148.178:8333': 3000, '71.191.207.62:8333': 3000, '217.21.24.146:8333': 3000, '109.255.152.153:8333': 3000, '52.68.166.44:8333': 3000, '71.198.215.136:8333': 3000}",
Sample 158 numConnections 8.csv,3000,0,8.0,8,8,3000.0,3000,3000,"{'157.245.83.73:8333': 3000, '159.100.249.179:8333': 3000, '188.208.111.62:8333': 3000, '178.33.232.74:8333': 3000, '54.164.111.200:8333': 3000, '75.67.48.41:8333': 3000, '136.32.20.188:8333': 3000, '183.230.93.139:8333': 3000}",
Sample 159 numConnections 9.csv,3000,24,9.0,9,9,818.1818181818181,18,3000,"{'95.93.214.186:8333': 794, '83.249.245.244:8333': 3000, '46.5.87.70:8333': 3000, '109.255.152.153:8333': 21, '95.216.68.148:8333': 26, '78.47.3.190:8333': 26, '35.195.30.252:8333': 26, '162.154.220.196:8333': 26, '178.33.232.74:8333': 26, '80.111.142.213:8333': 27, '23.175.0.202:8333': 34, '37.179.217.179:8333': 35, '70.49.214.184:8333': 44, '157.245.224.13:8333': 44, '172.81.183.236:8333': 44, '47.244.215.75:8333': 33, '121.18.238.39:8333': 28, '65.49.51.61:8333': 27, '159.69.10.112:8333': 18, '13.79.6.157:8333': 23, '212.251.232.254:8333': 30, '120.78.95.199:8333': 30, '73.152.233.100:8333': 40, '89.212.75.6:8333': 40, '34.243.14.186:8333': 40, '54.37.197.65:8333': 36, '102.182.126.78:8333': 2900, '34.222.37.152:8333': 2889, '111.90.140.179:8333': 2872, '3.210.177.194:8333': 2872, '46.251.52.12:8333': 2872, '73.216.78.94:8333': 2871, '23.98.67.247:8333': 2206}",
Sample 16 numConnections 6.csv,3000,0,6.0,6,6,3000.0,3000,3000,"{'211.48.20.244:8333': 3000, '157.97.7.24:8333': 3000, '45.79.41.197:8333': 3000, '142.93.30.86:8333': 3000, '89.25.80.42:8333': 3000, '103.71.170.141:8333': 3000}",
Sample 160 numConnections 10.csv,3000,4,10.0,10,10,2142.8571428571427,55,3000,"{'99.103.35.106:8333': 3000, '52.77.229.203:8333': 3000, '52.15.179.79:8333': 1295, '173.21.218.95:8333': 3000, '72.231.182.75:8333': 3000, '149.129.175.49:8333': 1283, '144.76.98.163:8333': 55, '159.69.95.70:8333': 1191, '92.62.34.158:8333': 3000, '188.208.111.62:8333': 3000, '185.230.81.96:8333': 2945, '204.60.23.203:8333': 1809, '217.182.172.117:8333': 1717, '206.189.138.144:8333': 1705}",
Sample 161 numConnections 1.csv,3000,0,1.0,1,1,3000.0,3000,3000,"{'84.114.111.75:8333': 3000}",
Sample 162 numConnections 2.csv,3000,1,2.0,2,2,2000.0,1320,3000,"{'67.210.228.204:8333': 1320, '109.109.36.19:8333': 3000, '194.118.172.29:8333': 1680}",
Sample 163 numConnections 3.csv,3000,0,3.0,3,3,3000.0,3000,3000,"{'136.32.20.188:8333': 3000, '217.21.24.146:8333': 3000, '46.59.13.35:8333': 3000}",
Sample 164 numConnections 4.csv,3000,0,4.0,4,4,3000.0,3000,3000,"{'3.0.163.51:8333': 3000, '54.191.204.251:8333': 3000, '99.103.35.106:8333': 3000, '185.95.213.108:8333': 3000}",
Sample 165 numConnections 5.csv,3000,0,5.0,5,5,3000.0,3000,3000,"{'94.112.167.129:8333': 3000, '35.222.123.156:8333': 3000, '54.191.204.251:8333': 3000, '18.179.34.162:8333': 3000, '207.154.220.194:8333': 3000}",
Sample 166 numConnections 6.csv,3000,0,6.0,6,6,3000.0,3000,3000,"{'173.212.242.108:8333': 3000, '47.108.65.144:8333': 3000, '217.182.172.114:8333': 3000, '89.25.80.42:8333': 3000, '172.104.142.20:8333': 3000, '23.233.9.151:8333': 3000}",
Sample 167 numConnections 7.csv,3000,0,7.0,7,7,3000.0,3000,3000,"{'122.147.213.63:8333': 3000, '85.208.70.249:8333': 3000, '35.187.209.186:8333': 3000, '84.114.111.75:8333': 3000, '93.189.145.169:8333': 3000, '206.248.184.127:8333': 3000, '37.97.228.224:8333': 3000}",
Sample 168 numConnections 8.csv,3000,3,8.0,8,8,2181.818181818182,1,3000,"{'66.18.172.21:8333': 3000, '185.19.29.110:8333': 3000, '51.107.76.178:8333': 3000, '159.65.132.97:8333': 3000, '212.112.145.196:8333': 3000, '192.226.144.137:8333': 3000, '46.4.69.86:8333': 2374, '91.121.181.140:8333': 7, '176.9.145.206:8333': 2993, '87.135.229.90:8333': 1, '93.189.145.169:8333': 625}",
Sample 169 numConnections 9.csv,3000,2,9.0,9,9,2454.5454545454545,10,3000,"{'109.109.36.19:8333': 3000, '35.241.143.66:8333': 3000, '94.155.252.45:8333': 3000, '107.195.166.98:8333': 3000, '45.115.239.108:8333': 3000, '118.107.45.111:8333': 3000, '54.187.225.131:8333': 2277, '77.247.178.104:8333': 3000, '207.154.220.194:8333': 10, '205.209.162.98:8333': 2990, '104.198.87.131:8333': 723}",
Sample 17 numConnections 7.csv,3000,1,7.0,7,7,2625.0,1416,3000,"{'46.5.87.70:8333': 3000, '162.213.123.118:8333': 3000, '72.250.208.210:8333': 3000, '35.187.198.89:8333': 3000, '116.202.97.85:8333': 1416, '74.110.99.196:8333': 3000, '45.79.41.197:8333': 3000, '94.130.34.85:8333': 1584}",
Sample 170 numConnections 10.csv,3000,2,10.0,10,10,2500.0,656,3000,"{'45.20.67.1:8333': 3000, '73.38.249.5:8333': 656, '89.217.85.148:8333': 3000, '76.102.103.136:8333': 3000, '31.13.195.69:8333': 3000, '185.78.209.27:8333': 3000, '47.75.94.8:8333': 3000, '93.189.145.169:8333': 3000, '62.171.142.156:8333': 772, '157.13.61.89:8333': 3000, '35.195.30.252:8333': 2344, '74.98.242.97:8333': 2228}",
Sample 171 numConnections 1.csv,3000,2,1.0,1,1,1000.0,60,2444,"{'192.241.148.178:8333': 496, '121.156.106.151:8333': 60, '80.79.114.34:8333': 2444}",
Sample 172 numConnections 2.csv,3000,2,2.0,2,2,1500.0,69,3000,"{'83.162.196.192:8333': 3000, '188.166.161.240:8333': 472, '167.99.133.10:8333': 69, '74.110.99.196:8333': 2459}",
Sample 173 numConnections 3.csv,3000,0,3.0,3,3,3000.0,3000,3000,"{'97.100.211.3:8333': 3000, '66.18.172.21:8333': 3000, '71.79.34.147:8333': 3000}",
Sample 174 numConnections 4.csv,3000,0,4.0,4,4,3000.0,3000,3000,"{'95.216.97.16:8333': 3000, '109.109.36.19:8333': 3000, '80.0.27.75:8333': 3000, '54.38.178.143:8333': 3000}",
Sample 175 numConnections 5.csv,3000,0,5.0,5,5,3000.0,3000,3000,"{'185.62.56.101:8333': 3000, '83.162.254.34:8333': 3000, '95.93.214.186:8333': 3000, '83.249.245.244:8333': 3000, '204.60.23.203:8333': 3000}",
Sample 176 numConnections 6.csv,3000,0,6.0,6,6,3000.0,3000,3000,"{'104.248.165.25:8333': 3000, '108.199.239.172:8333': 3000, '192.226.144.137:8333': 3000, '85.208.70.249:8333': 3000, '46.166.142.2:8333': 3000, '18.182.44.36:8333': 3000}",
Sample 177 numConnections 7.csv,3000,6,7.0,7,7,1615.3846153846155,29,3000,"{'206.248.184.127:8333': 3000, '109.238.81.82:8333': 3000, '195.201.235.135:8333': 233, '34.222.37.152:8333': 3000, '213.171.196.79:8333': 3000, '46.4.69.86:8333': 3000, '37.179.217.179:8333': 3000, '157.245.99.74:8333': 51, '54.254.183.101:8333': 29, '188.214.133.94:8333': 92, '68.48.133.235:8333': 63, '67.80.208.143:8333': 63, '198.211.109.72:8333': 2469}",
